name,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
James Crow,Mobley,3mGsz78taSdKnbOHFXnsv4,0.645,0.9079999999999999,0.36363636363636365,0.9360341604350781,0,0.068,0.267,0.0,0.237,0.961,0.7270541501149906,0.04109481758981702,0.8,rock
Please Set Me At Ease,Bobbi Humphrey,5emxS2ghZWuPnRFOe10vdq,0.34299999999999997,0.299,0.36363636363636365,0.6337525492861998,1,0.0584,0.9209999999999999,0.218,0.0944,0.322,0.31868756192675146,0.09582053915614712,0.8,jazz
Carnival Fever,Elan Trotman,7MB4RWR8LbYstvl2L9qFOQ,0.809,0.688,0.09090909090909091,0.8842624065261726,1,0.0554,0.0637,0.7929999999999999,0.0773,0.732,0.5000181803307002,0.06593219972642753,0.8,jazz
Time (feat. Rhye),SG Lewis,0XQypgwTXf0LS7ZGx13XTA,0.75,0.8190000000000001,0.9090909090909091,0.8668422841604351,0,0.151,0.0674,0.0009789999999999998,0.308,0.614,0.5274750247707006,0.06483465371019677,0.8,hiphop
Leadfoot,No Sinner,2JiVNVjC8W02EZ9Nmp4rNP,0.345,0.852,1.0,0.9168720258327668,1,0.0499,0.00016,0.0165,0.157,0.396,0.6230808388404585,0.060916049519255194,0.8,rock
Leave Me Alone,I DONT KNOW HOW BUT THEY FOUND ME,1cIi1x8ANjMO97wH5OfYO1,0.544,0.8859999999999999,0.0,0.9503951393609789,1,0.0381,0.0018800000000000002,0.0,0.324,0.5670000000000001,0.4730976556463562,0.05261624373718068,0.8,rock
"I'm Lost - From ""Lilo & Stitch""/Score",Alan Silvestri,4NxkKbiXAUa7e3CFGohZqh,0.158,0.11800000000000001,0.7272727272727273,0.6170122365737594,1,0.0399,0.826,0.7070000000000001,0.124,0.0377,0.34847603377905445,0.07064350722934754,0.6,classical
Main Title,Rachel Portman,1DdyioI2yXhLwR1pn5Hczk,0.18,0.0382,0.18181818181818182,0.5390890550645818,0,0.0452,0.983,0.0141,0.15,0.0593,0.31768764373823954,0.044706614160364665,0.6,classical
Mockingbirds,Mark Lanegan,72oybe0kQQLV3ZyvbhyPjB,0.31,0.6779999999999999,0.8181818181818182,0.8600016995241333,1,0.0339,0.35100000000000003,0.135,0.0848,0.75,0.9274468452581153,0.03427936560156048,0.8,rock
Someone Else,Loveless,2difkxoCWFI8heCIu8deOE,0.44,0.872,0.6363636363636364,0.9029571719918423,0,0.0792,0.0102,0.0,0.13,0.389,0.7265496459380596,0.04167166082852654,0.8,rock
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,6CwoD0C9LVWelhG52bbkdL,0.5870000000000001,0.698,0.09090909090909091,0.816961250849762,1,0.0943,0.0152,0.0,0.442,0.0985,0.6088320046541646,0.07930401547455672,0.8,hiphop
Sunshine Of Your Love,Cream,5y4761pjcksXs1hNsCmc4n,0.691,0.5920000000000001,0.18181818181818182,0.8352098912304555,1,0.0366,0.389,3.289999999999999e-05,0.124,0.736,0.523375360197802,0.0623720523801731,0.8,rock
Come Around,Papa Roach,6Mf8ozEDo35UcgKgKajrBY,0.431,0.903,0.18181818181818182,0.8910180149558123,1,0.125,0.0555,0.00217,0.0883,0.133,0.8455490005363197,0.051301714838457226,0.8,rock
El amor después del amor,Fito Paez,1PQzZbitOJ6XPFg7FFzsKQ,0.6409999999999999,0.797,0.6363636363636364,0.8682019034670292,1,0.0431,0.0035700000000000003,3.2500000000000004e-05,0.0279,0.655,0.43125562453981037,0.07963327927942596,0.8,rock
Dark Room,Robert Glasper,4Haj9iti8HYSwCnfiOJadx,0.45299999999999996,0.23,0.0,0.7698207002039429,0,0.0303,0.976,0.0968,0.12,0.11699999999999999,0.2397122053650156,0.012647884501106389,0.8,jazz
GRRRLS,AViVA,1DkX0AcEDzuFeh4TEAl143,0.5489999999999999,0.6559999999999999,0.2727272727272727,0.8686480285520054,1,0.0438,0.0351,1.19e-06,0.129,0.594,0.818310320064722,0.056338075611657344,0.8,rock
Narrow Road (feat. Lil Baby),NLE Choppa,3GZd1aDsgKL71Kt3VIp0hc,0.614,0.5529999999999999,0.6363636363636364,0.8323207002039429,1,0.16899999999999998,0.0306,0.0,0.203,0.161,0.7272086829259424,0.05953611698324741,0.8,hiphop
Natural's Not in It,Tom Morello,53FLipTFUY197rlZNtSG3y,0.512,0.818,0.6363636363636364,0.9507350441876274,1,0.127,0.0033399999999999997,0.0008640000000000001,0.177,0.627,0.7361352252997482,0.04784598875001298,0.8,rock
Big Dog,Moe,7FRMyc0lIplQaI3hdDvA61,0.8540000000000001,0.622,0.09090909090909091,0.8648878314072059,1,0.106,0.19899999999999998,6.94e-06,0.41200000000000003,0.551,0.7270132443709152,0.03423445323260986,0.8,hiphop
You're Not Alone,Saosin,7cITfGsdjGaTP0b5oiLL0z,0.45799999999999996,0.845,0.18181818181818182,0.9139191026512576,0,0.0422,0.0009480000000000001,1.99e-06,0.359,0.175,0.5453826505104128,0.05890622100871497,0.8,rock
In The Blood,Charlie Peacock,3jLxkcjvU45zaS1MXAyJzA,0.649,0.581,0.45454545454545453,0.7881118286879675,0,0.102,0.0449,0.8320000000000001,0.141,0.715,0.7898853730149352,0.036850598723983455,0.8,jazz
All In My Head,Reece Young,3G3C8P25tN4FOYGy6d8ttJ,0.578,0.794,0.8181818181818182,0.8396286539768865,1,0.0288,0.128,0.00025699999999999996,0.34,0.35100000000000003,0.6544737248770556,0.04962816769043476,0.8,rock
Música Callada III,Federico Mompou,0hXWX5OdIzAp46BJHHlL6v,0.268,0.00471,0.9090909090909091,0.3145606730115567,1,0.0476,0.996,0.861,0.0655,0.242,0.33632248270596043,0.021771270848812897,1.0,classical
Everything,Mark de Clive-Lowe,6FMlpybV6Bvz2DnEUWBjxQ,0.6709999999999999,0.792,0.0,0.8290916043507818,1,0.11199999999999999,0.331,0.000591,0.304,0.5429999999999999,0.4678662654873692,0.042996014307957936,0.8,jazz
Phoebe,Sátyr,0jVcDTCdWPPPka66nfuyVu,0.494,0.47600000000000003,0.09090909090909091,0.7308378653976886,0,0.0768,0.604,0.9259999999999999,0.0895,0.271,0.4040578498122881,0.032843292604364416,0.8,jazz
Grateful,Agent Sasco (Assassin),1wslSV8ppr83jS3fWHHYQT,0.748,0.7120000000000001,0.45454545454545453,0.9130905846363018,0,0.2,0.324,0.0,0.575,0.6,0.4089892645147215,0.06893852142305963,0.8,reggae
Dream On,Aerosmith,7H3RUwypdZREOhV4d8EKMA,0.38299999999999995,0.5670000000000001,0.45454545454545453,0.9052090414683889,0,0.0257,0.214,0.00019099999999999998,0.344,0.19399999999999998,0.35506640365788256,0.06644027090018141,0.8,rock
They Want EFX,Das EFX,2rQDtzREtofoyhDNYk95jf,0.866,0.534,0.45454545454545453,0.7859661794697486,1,0.321,0.0838,0.0,0.0848,0.619,0.4492905125944241,0.054145509899949276,0.8,hiphop
If Ah Rude Ah Rude,Devon George,0SJM6td3gcXuGkdo4ZAxW1,0.7170000000000001,0.595,0.6363636363636364,0.6545079877634262,0,0.0685,0.245,0.805,0.0867,0.9279999999999999,0.5882200547227954,0.07643720282397748,0.8,reggae
Doh Say a Word,Kabaka Pyramid,13bOS3QB6Tm8bVuXEDPIsK,0.6970000000000001,0.634,0.6363636363636364,0.8036199864038069,1,0.395,0.40700000000000003,0.0015,0.102,0.33299999999999996,0.4535356198129244,0.03260104651433701,0.8,reggae
BEEF,Luci Gang,57ihhpShbD11bf2WwcdyAN,0.769,0.645,0.9090909090909091,0.8581322229775663,0,0.0577,0.000875,8.809999999999999e-05,0.127,0.195,0.3725240662127644,0.025162996811502508,0.8,hiphop
Calling All Cars,Senses Fail,6rmTJ9n2KMbvMCjE9Fd5CC,0.373,0.961,0.18181818181818182,0.939921821889871,1,0.0996,3.4899999999999995e-05,1.4599999999999999e-05,0.271,0.5429999999999999,0.7641874755701806,0.04922760549985642,0.8,rock
Dolores,The Black Market Trust,1UOTHt2Vxk5xHMvdN7gkRF,0.767,0.35,0.8181818181818182,0.7733047246770904,1,0.0491,0.915,0.0362,0.213,0.951,0.4414956958067067,0.026767771894569338,0.6,jazz
Blooming,Richard J. Birkin,1X7CTmx5NPmgHU8WaEzQPT,0.0632,0.243,0.9090909090909091,0.7430107070020394,1,0.04,0.0119,0.929,0.10300000000000001,0.0321,0.3074748429673936,0.06272377236951764,0.8,classical
Lost on the Young,Balto,2Hl45Cf4m4CX0a4slkR2qU,0.267,0.738,0.8181818181818182,0.8893397348742352,1,0.0464,0.0419,1.35e-06,0.0812,0.488,0.7321673681244262,0.04627854707363636,0.8,rock
Innovations - 2Rude Version,Saukrates,4EYbNjpEVHbyTEeVwaqtZI,0.815,0.813,0.09090909090909091,0.8647178789938816,1,0.313,0.0228,1.67e-05,0.21100000000000002,0.693,0.41855211846303486,0.0709505955520474,0.8,hiphop
Empire State of Mind,Josh Vietti,5tjNdw1pl6Es0KIEDjdEsr,0.6609999999999999,0.83,0.45454545454545453,0.9169145139360979,1,0.0401,0.0377,0.009309999999999999,0.153,0.48,0.4089892645147215,0.07341937233280178,0.8,classical
Titanic Berlin,Joha,1CrQIapxTd3fNaZK6yOBiI,0.617,0.504,0.5454545454545454,0.7991162474507139,0,0.0427,0.0688,0.888,0.109,0.514,0.40926651455789986,0.04597903771319691,0.8,jazz
"Prélude, choral et fugue, M. 21: I. Prelude",César Franck,3bhJrqoFuNemRlbYOjJ3Ih,0.182,0.0159,1.0,0.38747025832766824,0,0.0433,0.9940000000000001,0.903,0.0757,0.0513,0.28518575752892944,0.07000715510177845,0.6,classical
No Gangster,Kojey Radical,2QVD1WfdzJGWOaXQontw3S,0.552,0.627,0.09090909090909091,0.8274345683208701,1,0.344,0.44799999999999995,0.007109999999999999,0.134,0.643,0.5617267678099065,0.05213961122169222,1.0,hiphop
Vex Oh (feat. Eight9FLY),KAYTRANADA,4n358XQMHXd0xi6NazWdxr,0.742,0.645,0.5454545454545454,0.7893439836845684,1,0.386,0.14800000000000002,2.8600000000000004e-05,0.0861,0.804,0.5108763828414039,0.0375992317739291,0.8,reggae
"Trio Sonata in D Minor, Op. 1, No. 12, RV 63 - La Follia",Antonio Vivaldi,19KzHkHZRrVNjxfjjG3bB0,0.336,0.142,0.09090909090909091,0.6321167573079537,0,0.0434,0.86,7.340000000000001e-05,0.0726,0.11599999999999999,0.6448426946886164,0.1839722913139759,0.6,classical
LVL,A$AP Rocky,4dz4nfY5LeFUR99uspA5e6,0.613,0.42700000000000005,0.45454545454545453,0.8643567301155677,0,0.0585,0.20199999999999999,1.6100000000000002e-05,0.122,0.0945,0.5449508676562826,0.053876035686245556,0.8,hiphop
If You Could See Me Now,Chet Baker,2QZtOFPATNgKpUJiGUARZk,0.511,0.031,0.2727272727272727,0.5899048266485384,1,0.0388,0.9390000000000001,0.898,0.139,0.179,0.5131898299230063,0.08146345831416371,0.8,jazz
2020,Igor Willcox,0BYyLiQ1dYhvRAplWNH4rT,0.485,0.8220000000000001,0.45454545454545453,0.8113528212100611,1,0.0786,0.198,0.5710000000000001,0.0375,0.555,0.630975647447027,0.0888464903650337,0.8,jazz
Black Dahlia,Angel Haze,48Mf1HuY6mW01Dc9X5aqCV,0.5539999999999999,0.765,1.0,0.8859619306594153,0,0.183,0.0148,2.44e-05,0.336,0.133,0.40013998854639166,0.08466739443417853,0.8,hiphop
Body Water,Mini Priest,3LKnTJqisnDLNzaMBIxwCg,0.8029999999999999,0.741,0.9090909090909091,0.8701776002719239,0,0.0511,0.0133,0.0,0.0729,0.789,0.5274522993573253,0.05362171939706267,0.8,reggae
Bumpin' On Sunset,Wes Montgomery,1yxJK6q9oymWO3vjbPCYmp,0.759,0.247,0.36363636363636365,0.5858472127804214,0,0.0521,0.875,0.43200000000000005,0.0978,0.44299999999999995,0.4890554409184703,0.0732071613895101,0.8,jazz
Hopeless,Nerv,51hmIcx4eHy7R60Gf99Dfj,0.266,0.762,0.36363636363636365,0.8802260367097213,0,0.0536,0.0343,0.00228,0.14,0.177,0.3777009153796507,0.04522226429637897,0.6,rock
Don't Waste Your Breath,Close to Home,75mBsDQrHEQfuyK8ZUHr14,0.262,0.951,0.0,0.9410690006798096,0,0.0699,0.000205,0.000195,0.301,0.284,0.5617267678099065,0.052274348328544086,0.8,rock
Time Consuming,Snoozegod,7h3TP14K4trKSjIAX2KdWj,0.757,0.461,0.09090909090909091,0.8057231475186947,0,0.0313,0.265,0.12300000000000001,0.35,0.353,0.49540946649819556,0.024510363950188813,0.8,jazz
HEAD SHOTS,Tobe Nwigwe,1EFKZQ8T6EipEf1DxeZwl7,0.74,0.7070000000000001,0.0,0.8340414683888512,1,0.37200000000000005,0.122,0.0,0.175,0.688,0.4998636475197484,0.04597903771319691,0.8,hiphop
Djambo - Gardy Girault Remix,Pablo Fierro,2xDLz3zfFNUg2r7b0cCXzr,0.767,0.632,0.09090909090909091,0.7997323249490143,1,0.0933,0.527,0.0194,0.0857,0.636,0.5453417447663373,0.10282125466632495,0.8,reggae
You Don't Know What Love Is,The Sweetgreens,4bDk3TKM6kF1MT2Tzek7QJ,0.581,0.0509,0.45454545454545453,0.4749745071380013,0,0.0377,0.8540000000000001,0.892,0.124,0.26899999999999996,0.538565026497832,0.03422406724729003,0.8,jazz
Buzzin (with Unknown Mortal Orchestra),Aminé,73gZIO4BqYoGPNNp7DURoZ,0.6779999999999999,0.67,0.45454545454545453,0.9253696464989803,1,0.115,0.111,1.2e-06,0.127,0.813,0.7272632239180431,0.0537623512523393,0.8,hiphop
"5 Kurpian Songs, Op.75 (1999): Hej, z góry, z góry!",Henryk Górecki,2ts1opgcE7KZOwfIioyYVw,0.17800000000000002,0.0318,0.6363636363636364,0.3418167912984364,1,0.0377,0.986,0.00106,0.128,0.0373,0.3770282431437427,0.05764867467809761,0.2,classical
Sum 2 Prove,Lil Baby,2u3EyuCqqV31woqGvO9LBz,0.823,0.552,0.36363636363636365,0.8462355540448674,0,0.324,0.0174,0.0,0.122,0.418,0.5637629648483306,0.0498415014429502,0.8,hiphop
West Indian Flower,Snorre Kirk,5eLkBcO6S7bgwA5YPeHEpW,0.623,0.251,0.18181818181818182,0.6986531271244051,1,0.0499,0.78,0.00976,0.0873,0.6940000000000001,0.49685480278886274,0.07379860114812857,1.0,jazz
Sad Face Emojis (feat. Jessie Reyez),Junia-T,3qxpBIh54FCi2uGbYZ4ZMB,0.557,0.502,0.18181818181818182,0.8069340584636302,0,0.091,0.529,2.32e-06,0.109,0.622,0.4691570689670845,0.050105080908229155,0.8,hiphop
Anoyianos,Maria Manousaki,3scddG5wY6Fub81cNGZxo4,0.452,0.35,0.45454545454545453,0.6443958191706323,1,0.0285,0.726,0.7809999999999999,0.107,0.6609999999999999,0.6791444336372479,0.1427696840386774,1.0,jazz
Box Step,Chad Taylor,1qteisqG6gO3CsYRD0gWcC,0.425,0.318,0.8181818181818182,0.6419315091774302,0,0.0388,0.775,0.53,0.0915,0.355,0.4684207655737258,0.09298741078228083,0.8,jazz
River Of Deceit,Mad Season,3e2fDgC93LGc9Lbdvr6I9k,0.461,0.24600000000000002,0.0,0.7205345003399047,1,0.0298,0.111,0.00037400000000000004,0.0963,0.17800000000000002,0.40199438227781364,0.07705081806476533,0.8,rock
