Position,Track Name,Artist,Streams,date,region,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Top_50_Appearnces
74.0,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,672103.0,2017-01-01,global,1lItf5ZXJc1by9SbPeljFd,0.807,0.887,1.0,-3.892,1.0,0.275,0.00381,0.0,0.391,0.78,160.517,0
75.0,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,666941.0,2017-01-01,global,6YZdkObH88npeKrrkb8Ggf,0.7240000000000001,0.904,8.0,-3.3539999999999996,0.0,0.0966,0.0786,0.0,0.226,0.846,90.999,0
76.0,Hymn for the Weekend - Seeb Remix,Coldplay,655597.0,2017-01-01,global,1OAiWI2oPmglaOiv9fdioU,0.564,0.8490000000000001,0.0,-3.516,0.0,0.0517,0.00868,4.68e-06,0.12,0.42700000000000005,102.02799999999999,0
77.0,"i hate u, i love u (feat. olivia o'brien)",gnash,653547.0,2017-01-01,global,7vRriwrloYVaoAe3a9wJHe,0.49200000000000005,0.275,6.0,-13.4,0.0,0.3,0.687,0.0,0.10099999999999999,0.18,92.6,0
78.0,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,650717.0,2017-01-01,global,4dASQiO1Eoo3RJvt74FtXB,0.502,0.7859999999999999,9.0,-4.378,0.0,0.317,0.255,0.0,0.65,0.7390000000000001,169.021,0
79.0,Solo Dance,Martin Jensen,647007.0,2017-01-01,global,6HUnnBwYZqcED1eQztxMBN,0.7440000000000001,0.836,6.0,-2.396,0.0,0.0507,0.0435,0.0,0.19399999999999998,0.36,114.965,119
80.0,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,646550.0,2017-01-01,global,5uDASfU19gDxSjW8cnCaBp,0.8859999999999999,0.42700000000000005,6.0,-10.027999999999999,1.0,0.145,0.0312,0.00099,0.0906,0.23,108.03399999999999,0
81.0,Deu Onda,MC G15,640703.0,2017-01-01,global,0EPxmvsG1BY5td4aTOkWBF,0.9309999999999999,0.604,0.0,-1.41,0.0,0.0573,0.456,0.0,0.0488,0.8640000000000001,129.92600000000002,0
82.0,The Ocean (feat. Shy Martin),Mike Perry,621355.0,2017-01-01,global,2CPqh63wRVscbceKcPxwvv,0.632,0.575,5.0,-6.478,1.0,0.028999999999999998,0.0225,1.81e-06,0.10400000000000001,0.188,90.037,0
83.0,Needed Me,Rihanna,618514.0,2017-01-01,global,1Tt4sE4pXi57mTD1GCzsqm,0.6709999999999999,0.314,5.0,-8.091000000000001,0.0,0.244,0.11,0.0,0.0825,0.29600000000000004,110.898,0
84.0,Human,Rag'n'Bone Man,615851.0,2017-01-01,global,58zsLZPvfflaiIbNWoA22O,0.602,0.7070000000000001,11.0,-4.0969999999999995,1.0,0.302,0.39299999999999996,0.0,0.165,0.5539999999999999,75.09,0
85.0,Setting Fires,The Chainsmokers,599513.0,2017-01-01,global,0B8B8cVRFIG1yznoQe7c9s,0.626,0.7170000000000001,8.0,-5.751,0.0,0.0375,0.017,0.0,0.261,0.56,105.039,0
86.0,The Greatest,Sia,597051.0,2017-01-01,global,6bLopGnirdrilrpdVB6Um1,0.639,0.785,10.0,-6.167000000000001,0.0,0.174,0.0174,0.00107,0.0512,0.6859999999999999,191.95,0
87.0,7 Years,Lukas Graham,593676.0,2017-01-01,global,7129iqBafaphfc3WPCGC0L,0.742,0.479,10.0,-5.83,1.0,0.0551,0.29,0.0,0.391,0.34600000000000003,119.95100000000001,0
88.0,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,586302.0,2017-01-01,global,0tICYNayWWhH9GPeFrfjfD,0.7929999999999999,0.7290000000000001,0.0,-4.77,0.0,0.0394,0.08,3.1e-05,0.317,0.488,121.97200000000001,0
89.0,Sneakin’,Drake,580939.0,2017-01-01,global,4ckuS4Nj4FZ7i3Def3Br8W,0.8059999999999999,0.5579999999999999,8.0,-6.537999999999999,1.0,0.172,0.00496,1.45e-06,0.16,0.26,85.01100000000001,0
90.0,OOOUUU,Young M.A,580826.0,2017-01-01,global,7JYsArznYOjX2jsrT3UEnL,0.635,0.847,7.0,-3.1519999999999997,1.0,0.447,0.5329999999999999,0.0,0.154,0.568,166.072,0
91.0,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,579504.0,2017-01-01,global,2wDjpPW3HZdA9quPPmZAMu,0.42,0.636,10.0,-7.216,1.0,0.22,0.494,0.0,0.122,0.784,156.10399999999998,0
92.0,Make Me (Cry),Noah Cyrus,577810.0,2017-01-01,global,2BrzlUj1u1CtvaJDGIKpsP,0.588,0.47100000000000003,0.0,-7.287000000000001,1.0,0.0577,0.5920000000000001,0.00146,0.0733,0.209,152.881,0
93.0,Lot to Learn,Luke Christopher,570299.0,2017-01-01,global,2HzfRSfCogBSsgW2CckVA2,0.42200000000000004,0.852,6.0,-3.5460000000000003,1.0,0.20800000000000002,0.0845,0.0,0.0687,0.6659999999999999,82.914,0
94.0,Fast Car,Jonas Blue,567927.0,2017-01-01,global,6OZh916QF8XNunWaP97WEZ,0.45899999999999996,0.5870000000000001,9.0,-6.983,1.0,0.0785,0.45299999999999996,0.0,0.307,0.581,113.90100000000001,0
95.0,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,567639.0,2017-01-01,global,0v9Wz8o0BT8DU38R4ddjeH,0.652,0.795,11.0,-5.192,0.0,0.174,0.156,0.0,0.12300000000000001,0.7879999999999999,135.018,0
96.0,Water Under the Bridge,Adele,565509.0,2017-01-01,global,4vb4mFvYsr2h6enhjJsq9Y,0.596,0.838,5.0,-6.52,0.0,0.0704,0.0189,1.5399999999999998e-05,0.10800000000000001,0.47200000000000003,94.98200000000001,4
